name,ds,type,date,address,X,Y,lat,lon,lukor,docs
27,27,götuskápur,,Dunhagi 17,356051.731,407349.077,64.13869703,-21.95748011,https://lukor.or.is/lukor/gotuljosakort.html?dnr=27,https://trello.com/c/HhvqiWvK
39,39,götuskápur,,Kaplaskjólsvegur 64,355426.4198,408100.7384,64.14516913,-21.97103379,https://lukor.or.is/lukor/gotuljosakort.html?dnr=39,https://trello.com/c/lUq78JrZ
57,57,götuskápur,,Grandavegur 38,355888.095,408616.476,64.14998447,-21.96205636,https://lukor.or.is/lukor/gotuljosakort.html?dnr=57,https://trello.com/c/8670LHiI
108,108,götuskápur,,Grenimelur 10,356192.947,407907.612,64.14376084,-21.95511902,https://lukor.or.is/lukor/gotuljosakort.html?dnr=108,https://trello.com/c/D7oI2s9O
170,170,götuskápur,,Granaskjól 31,355220.9993,408218.4725,64.14613741,-21.97536282,https://lukor.or.is/lukor/gotuljosakort.html?dnr=170,https://trello.com/c/CePZjWdh
173,173,götuskápur,,Arngrímsgata 1,356318.476,407748.286,64.14238583,-21.95239046,https://lukor.or.is/lukor/gotuljosakort.html?dnr=173,https://trello.com/c/Y9q0CFBG
175,175,götuskápur,,Kvisthagi 21,355748.7536,407790.8533,64.14252819,-21.96412107,https://lukor.or.is/lukor/gotuljosakort.html?dnr=175,https://trello.com/c/7QFUmCXB
182,182,götuskápur,,Boðagrandi 1,355611.0915,408546.2028,64.14923832,-21.96767374,https://lukor.or.is/lukor/gotuljosakort.html?dnr=182,https://trello.com/c/qJucCXwB
210,210,götuskápur,,Baugatangi 1,356148.3159,406285.6306,64.12920882,-21.95447824,https://lukor.or.is/lukor/gotuljosakort.html?dnr=210,https://trello.com/c/Zs9EmeDS
382,382,götuskápur,,Fornhagi 9,356004.7484,407572.9078,64.14068289,-21.95865905,https://lukor.or.is/lukor/gotuljosakort.html?dnr=382,https://trello.com/c/XrFp4kyi
423,423,götuskápur,,Kaplaskjólsvegur 31,355820.495,408148.263,64.1457608,-21.96299304,https://lukor.or.is/lukor/gotuljosakort.html?dnr=423,https://trello.com/c/S1n0L3NF
443,443,götuskápur,,Meistaravellir 10,355836.775,408357.445,64.14764195,-21.96286029,https://lukor.or.is/lukor/gotuljosakort.html?dnr=443,https://trello.com/c/zTflBp14
483,483,götuskápur,,Árnagarður,356346.387,407384.236,64.13913554,-21.95146878,https://lukor.or.is/lukor/gotuljosakort.html?dnr=483,https://trello.com/c/xK78OZ35
581,581,götuskápur,,Öldugrandi 1,354877.6,408707.283,64.15037208,-21.98288323,https://lukor.or.is/lukor/gotuljosakort.html?dnr=581,https://trello.com/c/MV23R8aA
591,591,götuskápur,,Ægisíða 50,355892.477,407161.372,64.13694832,-21.9605668,https://lukor.or.is/lukor/gotuljosakort.html?dnr=591,https://trello.com/c/7Mgq1ICF
680,680,götuskápur,,Eggertsgata 6,356221.4983,407047.6946,64.13606775,-21.95370814,https://lukor.or.is/lukor/gotuljosakort.html?dnr=680,https://trello.com/c/Vco4kqLr
727,727,götuskápur,,Skerplugata 1A,356391.28,406850.923,64.13437572,-21.9500368,https://lukor.or.is/lukor/gotuljosakort.html?dnr=727,https://trello.com/c/8MKt5msg
109,109,götuskápur,,Rekagrandi 12,356391.28,406850.923,64.148875,-21.974482,https://lukor.or.is/lukor/gotuljosakort.html?dnr=109,https://trello.com/c/H9hakae3