layer_title,ds,marker_shape,hex_color,visible
Lampar á drst nr. 173,173,circle,#00ff00,false
Lampar á drst nr. 108,108,circle,#00ff00,false
Lampar á drst nr. 680,680,circle,#00ff00,false
Lampar á drst nr. 443,443,circle,#00ff00,false
Lampar á drst nr. 727,727,circle,#00ff00,false
Lampar á drst nr. 423,423,circle,#00ff00,false
Lampar á drst nr. 210,210,circle,#00ff00,false
Lampar á drst nr. 109,109,circle,#00ff00,false
Lampar á drst nr. 483,483,circle,#00ff00,false
Lampar á drst nr. 182,182,circle,#00ff00,false
Lampar á drst nr. 175,175,circle,#00ff00,false
Lampar á drst nr. 27,27,circle,#00ff00,false
Lampar á drst nr. 581,581,circle,#00ff00,false
Lampar á drst nr. 39,39,circle,#00ff00,false
Lampar á drst nr. 591,591,circle,#00ff00,false
Lampar á drst nr. 382,382,circle,#00ff00,false
Lampar á drst nr. 170,170,circle,#00ff00,false
Lampar á drst nr. 57,57,circle,#00ff00,false